title,description,author,genre,price
The Great Gatsby,A classic novel set in the Jazz Age,F. Scott Fitzgerald,Fiction,12.99
To Kill a Mockingbird,A story of racial injustice in the Deep South,Harper Lee,Fiction,10.99
1984,A dystopian novel depicting a totalitarian society,George Orwell,Fiction,9.99
Pride and Prejudice,A classic romance novel by Jane Austen,Jane Austen,Fiction,12.99
The Lord of the Rings,A fantasy epic by J.R.R. Tolkien,J.R.R. Tolkien,Fantasy,15.99
Harry Potter and the Sorcerer's Stone,The first book in the Harry Potter series,J.K. Rowling,Fantasy,11.99
The Catcher in the Rye,A coming-of-age novel by J.D. Salinger,J.D. Salinger,Fiction,9.99
To the Lighthouse,A modernist novel by Virginia Woolf,Virginia Woolf,Fiction,10.99
Brave New World,A dystopian science fiction by Aldous Huxley,Aldous Huxley,Fiction,9.99
The Hobbit,A fantasy novel by J.R.R. Tolkien,J.R.R. Tolkien,Fantasy,11.99
Moby-Dick,A classic novel by Herman Melville,Herman Melville,Fiction,10.99
Frankenstein,A Gothic science fiction novel by Mary Shelley,Mary Shelley,Fiction,9.99
The Odyssey,An ancient Greek epic poem attributed to Homer,Homer,Fiction,12.99
Jane Eyre,A novel by Charlotte Brontë,Charlotte Brontë,Fiction,10.99
The Adventures of Huckleberry Finn,A classic novel by Mark Twain,Mark Twain,Fiction,11.99
Crime and Punishment,A psychological novel by Fyodor Dostoevsky,Fyodor Dostoevsky,Fiction,12.99
The Great Expectations,A coming-of-age novel by Charles Dickens,Charles Dickens,Fiction,10.99
The Picture of Dorian Gray,A philosophical novel by Oscar Wilde,Oscar Wilde,Fiction,9.99
War and Peace,A historical novel by Leo Tolstoy,Leo Tolstoy,Fiction,14.99
The Alchemist,A novel by Paulo Coelho,Paulo Coelho,Fiction,11.99
Don Quixote,A Spanish novel by Miguel de Cervantes,Miguel de Cervantes,Fiction,10.99
Gone with the Wind,A historical novel by Margaret Mitchell,Margaret Mitchell,Fiction,12.99
The Brothers Karamazov,A philosophical novel by Fyodor Dostoevsky,Fyodor Dostoevsky,Fiction,13.99
The Count of Monte Cristo,An adventure novel by Alexandre Dumas,Alexandre Dumas,Fiction,11.99
Les Misérables,A historical novel by Victor Hugo,Victor Hugo,Fiction,12.99
The Chronicles of Narnia,A series of fantasy novels by C.S. Lewis,C.S. Lewis,Fantasy,14.99
The Kite Runner,A novel by Khaled Hosseini,Khaled Hosseini,Fiction,10.99
One Hundred Years of Solitude,A novel by Gabriel García Márquez,Gabriel García Márquez,Fiction,11.99
The Book Thief,A novel by Markus Zusak,Markus Zusak,Fiction,10.99
Hamlet,A tragedy by William Shakespeare,William Shakespeare,Drama,9.99
The Secret Garden,A children's novel by Frances Hodgson Burnett,Frances Hodgson Burnett,Children's Literature,8.99
The Handmaid's Tale,A dystopian novel by Margaret Atwood,Margaret Atwood,Fiction,11.99
Lord of the Flies,A novel by William Golding,William Golding,Fiction,10.99
The Scarlet Letter,A novel by Nathaniel Hawthorne,Nathaniel Hawthorne,Fiction,9.99
Alice's Adventures in Wonderland,A children's novel by Lewis Carroll,Lewis Carroll,Children's Literature,8.99
A Tale of Two Cities,A historical novel by Charles Dickens,Charles Dickens,Fiction,10.99
The Grapes of Wrath,A novel by John Steinbeck,John Steinbeck,Fiction,11.99
Catch-22,A satirical novel by Joseph Heller,Joseph Heller,Fiction,9.99
The Divine Comedy,A long narrative poem by Dante Alighieri,Dante Alighieri,Fiction,12.99
Wuthering Heights,A novel by Emily Brontë,Emily Brontë,Fiction,10.99
The Lord of the Flies,A novel by William Golding,William Golding,Fiction,9.99
The Canterbury Tales,A collection of stories by Geoffrey Chaucer,Geoffrey Chaucer,Fiction,11.99
The Jungle Book,A collection of stories by Rudyard Kipling
